slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
bscscan,Etherscan,,"[""[Explore](https://bscscan.com/)""]",Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""Validator Leaderboard"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
dex-guru,Dex.Guru,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]",,FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",TRUE,FALSE,Free,
etherscan,Etherscan,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free,
ethplorer,Ethplorer,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
ethvm,EthVM,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
jiffyscan-developer,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,TRUE,Developer ($54/mo - 10k calls/day),
jiffyscan-professional,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,TRUE,Professional ($103/mo - 50k calls/day),
jiffyscan-starter,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,TRUE,Starter (Free - 1k calls/day),
metasleuth,MetaSleuth,,"[""[Explore](https://metasleuth.io/)""]",Custom,"[""Fund Tracking"",""Visual Analysis""]","[""Graph Visualization"",""Hacker Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Tx""]",FALSE,TRUE,"Free/$50/$180/$900/mo (individual monthly plan), $100/$360/$1800/mo (team monthly plan)",
oklink,OKLink,,,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Accounts"",""Token transfers"",""Address Activity""]","[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts"",""Amoy Contract Verification""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
okx,OKX,,,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Smart Contract Verification"",""Label System""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
polkadot-js,Polkadot.JS,,,Polkadot.JS,"[""Recent blocks"",""Recent events"",""Governance: Democracy"",""Governance: Treasury"",""Governance: Council""]","[""Developer RPC playground"", ""Developer Javascript playground"", ""Developer extrinsic playground"", ""Address Conversion"", ""Hash data"", ""Encode XCM""]",FALSE,"[""REST API""]",,"[""Contracts"",""Chain State"",""Extrinsics"",""RPC Calls"",""Runtime Calls"",""Transactions"",""Blocks""]",FALSE,FALSE,Free,
ronin-explorer,Ronin,Ronin Block Explorer,"[""[Explore](https://app.roninchain.com)""]",Custom,"[""Transactions"",""Blocks"",""Addresses"",""Contracts"",""Tokens""]","[""Real-time blockchain data""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Contract"",""Token""]",FALSE,TRUE,Free,
routescan,Routescan,,"[""[Explore](https://routescan.io/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Unified Multi-Chain Search"",""Explorer-as-a-Service""]",FALSE,"[""REST API"",""Etherscan-compatible API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free, paid versions of API for $0-$440",
subscan,Subscan,,,Subscan,"[""Daily Transfer Amount"",""Daily Signed Extrinsic Number"",""Daily Unsigned Extrinsic Number"",""Daily EVM Transaction Number"",""Daily Active Account & Newly Created Account"",""Daily Total Account & Holder"",""Daily Fees Used"",""Daily Average Block Time"",""Average Ref Size"",""Daily XCM Transfer"",""Daily XCM Message"",""XCM Message Flow"",""XCM Transfer Flow"",""Daily Native Token Circulating Supply"",""Daily Vesting Schedule""]","[""SLA""]",FALSE,"[""JSON-RPC"", ""REST API""]",,"[""Blocks"",""Extrinsics"",""Transfers"",""Events"",""Assets"",""Accounts"",""Logs"",""Collators"",""EVM Accounts"",""ERC20 Tokens"", ""NFT"", ""XCM"", ""Contracts"", ""Government"", ""Democracy proposals""]",TRUE,TRUE,"Free, paid versions of API for $19-$399 for 5/10/30 RPS. Yearly discounts apply",
suiexplorer,Sui,,"[""[Explore](https://suiexplorer.com/)""]",Custom,"[""Accounts"",""Transactions"",""Objects"",""Blocks""]",,FALSE,,,"[""Address"",""Transaction"",""Block"",""Object""]",FALSE,TRUE,Free,
suiscan,SuiScan,,"[""[Explore](https://suiscan.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Packages"",""Objects"",""Coins"",""NFTs""]","[""Gas Tracker"",""Staking Analytics"",""Historical Epochs"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Package"",""Object"",""Validator""]",FALSE,TRUE,Free,
suivision,BlockVision,,"[""[Explore](https://suivision.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Tokens"",""NFTs"",""DeFi""]","[""Project Leaderboard"",""Staking Analytics"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Token"",""Validator""]",FALSE,TRUE,Free,
teloscan,Teloscan,,"[""[Explore](https://www.teloscan.io/)""]",Custom,"[""Transactions"",""Blocks"",""Contracts"",""Token transfers""]","[""Official Telos explorer""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Contract"",""Token""]",TRUE,TRUE,Free,
tenderly-explorer,Tenderly,,"[""[Explore](https://docs.tenderly.co/developer-explorer)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly",
tokenterminal-explorer,token terminal,,"[""[Explore](https://tokenterminal.com/products/explorer)""]",Custom,"[""Protocol Revenue"",""Daily Active Users"",""Trading Fees"",""Financial Metrics""]","[""Standardized Metrics"",""Chart Editing"",""CSV Downloads""]",FALSE,"[""REST API""]",,"[""Protocol"",""Sector"",""Contract""]",FALSE,TRUE,Free/$350/mo,
tokenview,TokenView,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token/NFT Explorer"",""RPC Service""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
